p_loss_%,algorithm,run_idx,tcr,rounds,cfr,time_ms
0,cbba,0,1.0,19,1.0,295.773
0,cbba,1,0.95,17,0.0,253.259
0,cbba,2,1.0,21,1.0,314.018
0,cbba,3,0.9,17,0.0,256.884
0,cbba,4,0.9,22,0.0,319.688
0,cbba,5,1.0,18,1.0,266.287
0,cbba,6,1.0,17,1.0,265.282
0,cbba,7,0.9,16,0.0,240.385
0,cbba,8,1.0,18,1.0,269.79
0,cbba,9,1.0,20,1.0,254.22
0,cbba,10,1.0,21,1.0,320.476
0,cbba,11,0.8,16,0.0,236.237
0,cbba,12,0.9,23,0.0,331.553
0,cbba,13,1.0,28,1.0,403.647
0,cbba,14,0.65,14,0.0,209.232
0,cbba,15,1.0,29,1.0,410.53
0,cbba,16,1.0,18,1.0,264.854
0,cbba,17,1.0,17,1.0,253.999
0,cbba,18,1.0,20,1.0,302.559
0,cbba,19,1.0,24,1.0,316.982
0,cbba,20,0.8,16,0.0,218.416
0,cbba,21,1.0,20,1.0,300.627
0,cbba,22,1.0,19,1.0,286.625
0,cbba,23,1.0,24,1.0,354.948
0,cbba,24,0.7,14,0.0,203.471
0,cbba,25,0.9,18,0.0,261.772
0,cbba,26,1.0,20,1.0,289.529
0,cbba,27,1.0,16,1.0,247.041
0,cbba,28,0.9,20,0.0,304.316
0,cbba,29,0.8,15,0.0,212.383
0,cbba,30,0.9,17,0.0,239.785
0,cbba,31,1.0,18,1.0,270.882
0,cbba,32,1.0,26,1.0,373.988
0,cbba,33,1.0,19,1.0,287.843
0,cbba,34,0.8,13,0.0,187.126
0,cbba,35,0.8,20,0.0,288.448
0,cbba,36,1.0,25,1.0,377.899
0,cbba,37,1.0,19,1.0,318.366
0,cbba,38,1.0,20,1.0,549.055
0,cbba,39,1.0,20,1.0,289.423
0,cbba,40,0.9,17,0.0,245.641
0,cbba,41,0.9,18,0.0,257.742
0,cbba,42,1.0,20,1.0,306.193
0,cbba,43,0.85,15,0.0,226.875
0,cbba,44,1.0,19,1.0,295.688
